ITEM,CATEGORY,STORE_NAME,QUANTITY,SUBTOTAL,CREATED_AT
Chocolate Chip,Cookies,Subway,1,2.19,8/2/2019 1:53:40
Veggie Delite® (Footlong),Main Menu,Subway,1,6.5,8/2/2019 1:53:21
Veggie Burger Combo,Sandwich Combos,Wingit,2,17.98,8/1/2019 20:30:47
Veggie Burger Combo,Sandwich Combos,Wingit,2,17.98,8/1/2019 19:06:21
Create Your Own,Pizza,Papa John's Pizza,1,12.99,8/1/2019 0:53:02
Lay’s® Classic Chips,Sides,Subway,1,1.39,8/1/2019 0:02:50
Veggie Delite® Footlong,Footlong Sandwiches,Subway,1,6.59,8/1/2019 0:02:37
Veggie Burger Combo,Sandwich Combos,Wingit,2,17.98,7/27/2019 21:13:17
Sprite,drinks,Wingit,1,1,7/25/2019 18:46:10
Veggie Burger Combo,Sandwich Combos,Wingit,1,8.99,7/25/2019 18:45:45
Chocolate Chip,Cookies,Subway,1,2.19,7/24/2019 2:17:56
Lay’s® Classic,Chips,Subway,2,3,7/24/2019 2:17:38
Veggie Delite® (Footlong),Main Menu,Subway,1,6.5,7/24/2019 2:16:19
Veggie Delite® (Footlong),Main Menu,Subway,1,6.5,7/24/2019 2:15:23
"Veggie Delite® (6"")",Main Menu,Subway,1,5.25,7/24/2019 2:13:53
2 pc Fish/ Veg rice,Fish,American Deli,1,11.69,7/21/2019 22:32:03
Veggie Burger Combo,Sandwich Combos,Wingit,1,8.99,7/20/2019 16:49:38
Box of Fries,Sides,Wingit,1,4.99,7/20/2019 2:24:36
,,,,,
,,,1.15,6.24,3/21/2020 21:13:51
